name,address,description,Grantobiorca Kod pocztowy,Grantobiorca Miejscowość,Grantobiorca Nr budynku,Grantobiorca Ulica,Miejsce Realizacji Województwo,Nazwa,Wartość wsparcia
"Wdrożenie w działalności Wnioskodawcy nowej, nieistniejącej wcześniej w ofercie Wnioskodawcy, usługi w postaci dzierżawy i wypożyczania łodzi żaglowej bez załogi, powodującej wprowadzenie nowego zakresu działalności i zwiększenia odporności przedsiębiorstwa Cleopatra Premium Sp. z o.o. na sytuacje kryzysowe- Region 3 Województwo łódzkie",,Nazwa: CLEOPATRA PREMIUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ŁÓDZKIE<br>Grantobiorca Miejscowość: Lublin<br>Grantobiorca Ulica: Trześniowska<br>Grantobiorca Nr budynku: 63<br>Grantobiorca Kod pocztowy: 20-227<br>Wartość wsparcia: 469807.87,20-227,Lublin,63,Trześniowska,ŁÓDZKIE,CLEOPATRA PREMIUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,469807.87
Wzmocnienie odporności firmy OZDOBA I SYN S.C. poprzez inwestycje w nowe usługi oraz zieloną i cyfrową transformację,ŁÓDZKIE Łódź 8 94-302,Nazwa: OZDOBA I SYN S.C.<br>Miejsce Realizacji Województwo: ŁÓDZKIE<br>Grantobiorca Miejscowość: Łódź<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 94-302<br>Wartość wsparcia: 292095,94-302,Łódź,8,,ŁÓDZKIE,OZDOBA I SYN S.C.,292095
Wzmocnienie odporności Restauracji Pod Czaplą działającej w regionie 4 poprzezwdrożenie nowych usług do oferty.,ŚLĄSKIE Bytom Stanisława Moniuszki 8 41-902,Nazwa: Restauracja Pod Czaplą Dobrowolscy spółka cywilna<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Bytom<br>Grantobiorca Ulica: Stanisława Moniuszki<br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 41-902<br>Wartość wsparcia: 305690.6,41-902,Bytom,8,Stanisława Moniuszki,ŚLĄSKIE,Restauracja Pod Czaplą Dobrowolscy spółka cywilna,305690.6
"Inwestycja spółki WIOLETTA I MICHAŁ LISZOWSCY SPÓŁKA CYWILNA w zakup wyposażenia/sprzętów kuchennych, wyposażenia ogródków letnich i wprowadzenia zielonej i cyfrowej transformacji w 2 placówkach gastronomicznych w województwie śląskim, w celu umocnienia pozycji rynkowej przedsiębiorstwa na wypadek sytuacji kryzysowych.",ŚLĄSKIE Żory Józefa Mikołajca 17 44-240,Nazwa: WIOLETTA I MICHAŁ LISZOWSCY SPÓŁKA CYWILNA<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Żory<br>Grantobiorca Ulica: Józefa Mikołajca<br>Grantobiorca Nr budynku: 17<br>Grantobiorca Kod pocztowy: 44-240<br>Wartość wsparcia: 113032.23,44-240,Żory,17,Józefa Mikołajca,ŚLĄSKIE,WIOLETTA I MICHAŁ LISZOWSCY SPÓŁKA CYWILNA,113032.23
Projekt ZIELONA OLIWKA: Rewolucja w gastronomii Gliwic poprzez remont i stworzenie nowego miejsca spotkań – Restauracji-Pizzerii z bogatą ofertą pizzy na drewno.,ŚLĄSKIE Zabrze Jagiellońska 38 41-800,"Nazwa: PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWE ""IWO"" IWONA GARCZAREK-CIEKOT<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Zabrze<br>Grantobiorca Ulica: Jagiellońska<br>Grantobiorca Nr budynku: 38<br>Grantobiorca Kod pocztowy: 41-800<br>Wartość wsparcia: 416997.9",41-800,Zabrze,38,Jagiellońska,ŚLĄSKIE,"PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWE ""IWO"" IWONA GARCZAREK-CIEKOT",416997.9
Rozszerzenie oferty produktowej przedsiębiorstwa „SŁODKI PRZYSTANEK MONIKA KRZYSZCZUK” wraz z wejściem na rynek cateringowy w celu zwiększenia odporności firmy na potencjalne przyszłe kryzysy – region 4: woj. OPOLSKIE,OPOLSKIE Brzeg Księdza Makarskiego 37 49-300,Nazwa: Słodki Przystanek Monika Krzyszczuk<br>Miejsce Realizacji Województwo: OPOLSKIE<br>Grantobiorca Miejscowość: Brzeg<br>Grantobiorca Ulica: Księdza Makarskiego<br>Grantobiorca Nr budynku: 37<br>Grantobiorca Kod pocztowy: 49-300<br>Wartość wsparcia: 214023.48,49-300,Brzeg,37,Księdza Makarskiego,OPOLSKIE,Słodki Przystanek Monika Krzyszczuk,214023.48
Projekt zrównoważonego rozwoju hotelu Kinga,ŚLĄSKIE Żarki-Letnisko Nadrzeczna 35 42-311,Nazwa: KINGA S.C. JAROSŁAW I JOANNA WITAS<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Żarki-Letnisko<br>Grantobiorca Ulica: Nadrzeczna<br>Grantobiorca Nr budynku: 35<br>Grantobiorca Kod pocztowy: 42-311<br>Wartość wsparcia: 462702.6,42-311,Żarki-Letnisko,35,Nadrzeczna,ŚLĄSKIE,KINGA S.C. JAROSŁAW I JOANNA WITAS,462702.6
Eko-Innowacje w HoReCa: Rozwój Zrównoważonej Infrastruktury Turystycznej i Gastronomicznej w Osadzie Zborów,ŚLĄSKIE Wisła Jawornik 52A 43-460,"Nazwa: ""BODEKO HOTELE"" SPÓŁKA ZOGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Wisła<br>Grantobiorca Ulica: Jawornik<br>Grantobiorca Nr budynku: 52A<br>Grantobiorca Kod pocztowy: 43-460<br>Wartość wsparcia: 352445.94",43-460,Wisła,52A,Jawornik,ŚLĄSKIE,"""BODEKO HOTELE"" SPÓŁKA ZOGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",352445.94
Wprowadzenie nowych usług do oferty Ośrodka na terenie województwa śląskiego,ŚLĄSKIE Tresna Nad Jeziorem 99 34-311,"Nazwa: Przedsiębiorstwo Hotelarsko-Turystyczne ""ODYS"" Spółka z ograniczoną odpowiedzialnością<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Tresna<br>Grantobiorca Ulica: Nad Jeziorem<br>Grantobiorca Nr budynku: 99<br>Grantobiorca Kod pocztowy: 34-311<br>Wartość wsparcia: 479320.85",34-311,Tresna,99,Nad Jeziorem,ŚLĄSKIE,"Przedsiębiorstwo Hotelarsko-Turystyczne ""ODYS"" Spółka z ograniczoną odpowiedzialnością",479320.85
Zwiększenie odporności firmy New York Hot Dogs na sytuacje kryzysowe poprzez rozszerzenie prowadzonej działalności w zakresie asortymentów produktów i sposobu dostarczania produktów,ŁÓDZKIE Łódź Kaczeńcowa 10 91-214,Nazwa: NEW YORK HOT DOG KRZYSZTOF KUDANOWSKI SPÓŁKA JAWNA<br>Miejsce Realizacji Województwo: ŁÓDZKIE<br>Grantobiorca Miejscowość: Łódź<br>Grantobiorca Ulica: Kaczeńcowa<br>Grantobiorca Nr budynku: 10<br>Grantobiorca Kod pocztowy: 91-214<br>Wartość wsparcia: 402430.08,91-214,Łódź,10,Kaczeńcowa,ŁÓDZKIE,NEW YORK HOT DOG KRZYSZTOF KUDANOWSKI SPÓŁKA JAWNA,402430.08
