name,address,description,Grantobiorca Kod pocztowy,Grantobiorca Miejscowość,Grantobiorca Nr budynku,Grantobiorca Ulica,Miejsce Realizacji Województwo,Nazwa,Wartość wsparcia,Powiat
"Uruchomienie nowego kanału sprzedażowego, jakim jest sklep internetowy, wraz z rozszerzeniem produkowanego asortymentu i optymalizacją procesu produkcji i zużycia energii",POMORSKIE Gdańsk Gabriela Narutowicza 11 80-233,Nazwa: Loveat Piotr Luboch<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Gabriela Narutowicza<br>Grantobiorca Nr budynku: 11<br>Grantobiorca Kod pocztowy: 80-233<br>Wartość wsparcia: 255672.08,80-233,Gdańsk,11,Gabriela Narutowicza,POMORSKIE,Loveat Piotr Luboch,255672.08,Gdansk
Rozwój przedsiębiorstwa HLT Filip Wójcikiewicz poprzez inwestycje w woj. Pomorskim.,POMORSKIE Gdańsk Targ Rybny 1 80-838,Nazwa: Filip Wójcikiewicz HLT<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Targ Rybny<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 80-838<br>Wartość wsparcia: 540000,80-838,Gdańsk,1,Targ Rybny,POMORSKIE,Filip Wójcikiewicz HLT,540000.0,Gdansk
"Rozszerzenie działalności Restauracji Zacisze poprzez wdrożenie rozwiązań umożliwiających organizację proekologicznych ślubów plenerowych na rzecz ELKOMPLEX Andrzej Jarząbkowski - Region 1 - województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie.",POMORSKIE Gdańsk Niepołomicka 36 80-180,Nazwa: ELKOMPLEX ANDRZEJ JARZĄBKOWSKI <br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Niepołomicka<br>Grantobiorca Nr budynku: 36<br>Grantobiorca Kod pocztowy: 80-180<br>Wartość wsparcia: 220765.24,80-180,Gdańsk,36,Niepołomicka,POMORSKIE,ELKOMPLEX ANDRZEJ JARZĄBKOWSKI ,220765.24,Gdansk
Dywersyfikacja działalności dwóch obiektów restauracyjnych firmy RUCHOME PIASKI PAWEŁ SUŁKOWSKI i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych usług - Region 1,POMORSKIE Łeba Nadmorska 7 84-360,Nazwa: Ruchome Piaski Paweł Sułkowski<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Łeba<br>Grantobiorca Ulica: Nadmorska<br>Grantobiorca Nr budynku: 7<br>Grantobiorca Kod pocztowy: 84-360<br>Wartość wsparcia: 402649.55,84-360,Łeba,7,Nadmorska,POMORSKIE,Ruchome Piaski Paweł Sułkowski,402649.55,Powiat leborski
Dywersyfikacja działalności Culina Horeca Sp. z o.o. poprzez wprowadzenie nowej usługi kompleksowej organizacji wydarzeń,POMORSKIE Gdańsk al. Aleja Grunwaldzka 472C 80-309,Nazwa: CULINA HORECA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: al. Aleja Grunwaldzka<br>Grantobiorca Nr budynku: 472C<br>Grantobiorca Kod pocztowy: 80-309<br>Wartość wsparcia: 387176.1,80-309,Gdańsk,472C,al. Aleja Grunwaldzka,POMORSKIE,CULINA HORECA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,387176.1,Gdansk
"Rozwój działalności gospodarczej poprzez rozszerzenie oferty turystycznej w kompleksie turystycznym ""Kraina Bałtyku"" w Przewłoce.",POMORSKIE Ustka Marynarki Polskiej 82 76-270,Nazwa: JAKUB GRACZYK PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Ustka<br>Grantobiorca Ulica: Marynarki Polskiej<br>Grantobiorca Nr budynku: 82<br>Grantobiorca Kod pocztowy: 76-270<br>Wartość wsparcia: 301435.79,76-270,Ustka,82,Marynarki Polskiej,POMORSKIE,JAKUB GRACZYK PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE,301435.79,Powiat koszalinski
"Rozszerzenie działalności Travel and Action poprzez wdrożenie rozwiązań umożliwiających świadczenie usług związanych ze spa, fitnessem oraz usługami noclegowymi - Region 1 - województwo pomorskie",POMORSKIE Gdynia Kazimierza Górskiego 1 81-304,Nazwa: Katarzyna Bobińska TRAVEL AND ACTION.PL<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Kazimierza Górskiego<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 81-304<br>Wartość wsparcia: 443815.11,81-304,Gdynia,1,Kazimierza Górskiego,POMORSKIE,Katarzyna Bobińska TRAVEL AND ACTION.PL,443815.11,Gdynia
Rozszerzenie działalności Sporfun w woj. pomorskim poprzez zakup dmuchanych trampolin wraz z przenośną stacją ładowania,POMORSKIE Rumia 2W 84-230,Nazwa: Sportfun Michał Warych<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Rumia<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 2W<br>Grantobiorca Kod pocztowy: 84-230<br>Wartość wsparcia: 92050.29,84-230,Rumia,2W,,POMORSKIE,Sportfun Michał Warych,92050.29,Powiat wejherowski
Rozwój działalności firmy Solarium KiD poprzez inwestycje w woj. pomorskim,POMORSKIE Kwidzyn Kopernika 25 82-500,Nazwa: Solarium KiD Artur Piórkowski<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Kwidzyn<br>Grantobiorca Ulica: Kopernika<br>Grantobiorca Nr budynku: 25<br>Grantobiorca Kod pocztowy: 82-500<br>Wartość wsparcia: 419400,82-500,Kwidzyn,25,Kopernika,POMORSKIE,Solarium KiD Artur Piórkowski,419400.0,Powiat kwidzynski
Wzmocnienie odporności przedsiębiorstwa działającego w województwie pomorskim poprzez wdrożenie nowego produktu - gry i zabawy edukacyjne i interaktywne dla dzieci i rodzin.,POMORSKIE Gdańsk Piotrkowska 28 80-180,Nazwa: BLACK WOLF - PIOTR FĄS BEZPIECZNIE W DOMU - PIOTR FĄS - WYSZYJ TO PIOTR FĄS<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Piotrkowska<br>Grantobiorca Nr budynku: 28<br>Grantobiorca Kod pocztowy: 80-180<br>Wartość wsparcia: 425231,80-180,Gdańsk,28,Piotrkowska,POMORSKIE,BLACK WOLF - PIOTR FĄS BEZPIECZNIE W DOMU - PIOTR FĄS - WYSZYJ TO PIOTR FĄS,425231.0,Gdansk
